Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
User1,/users/1,US,1 review,2023-01-01T10:00:00.000Z,Rated 1 out of 5 stars,Review,Screen cracked after one drop,2023-01-01T10:00:00.000Z
User2,/users/2,GB,1 review,2024-02-02T10:00:00.000Z,Rated 2 out of 5 stars,Review,Screen flickers sometimes and is annoying,2024-02-02T10:00:00.000Z
User3,/users/3,US,1 review,2024-03-03T10:00:00.000Z,Rated 5 out of 5 stars,Review,Display is vivid and bright and great for movies,2024-03-03T10:00:00.000Z
User4,/users/4,CA,1 review,2024-03-04T10:00:00.000Z,Rated 5 out of 5 stars,Review,Love the sharp colors and smooth 120Hz refresh,2024-03-04T10:00:00.000Z
User5,/users/5,IN,1 review,2024-03-05T10:00:00.000Z,Rated 3 out of 5 stars,Review,Sharp panel but very reflective in sunlight,2024-03-05T10:00:00.000Z
User6,/users/6,DE,1 review,2024-03-06T10:00:00.000Z,Rated 4 out of 5 stars,Review,Good brightness though colors look a bit dim outdoors,2024-03-06T10:00:00.000Z
User7,/users/7,UK,1 review,2024-03-07T10:00:00.000Z,Rated 3 out of 5 stars,Review,Decent screen and viewing angles could be better,2024-03-07T10:00:00.000Z
User8,/users/8,US,1 review,2024-03-08T10:00:00.000Z,Rated 1 out of 5 stars,Review,Dead pixels appeared within a month and is terrible,2024-03-08T10:00:00.000Z
User9,/users/9,FR,1 review,2024-03-09T10:00:00.000Z,Rated 4 out of 5 stars,Review,11 inch LCD with 120Hz feels very smooth,2024-03-09T10:00:00.000Z
User10,/users/10,US,1 review,2024-03-10T10:00:00.000Z,Rated 5 out of 5 stars,Review,Excellent contrast and crisp text rendering,2024-03-10T10:00:00.000Z
User11,/users/11,IN,1 review,2024-03-11T10:00:00.000Z,Rated 3 out of 5 stars,Review,Comes with a scratch resistant glass cover,2024-03-11T10:00:00.000Z
User12,/users/12,DE,1 review,2024-03-12T10:00:00.000Z,Rated 4 out of 5 stars,Review,Supports HDR and has thin bezels around the display,2024-03-12T10:00:00.000Z
